# Time, Reward, Input, RodPos, RodVel, ActPos, ActVel
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.006281249999999818e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00
1.000000000000000021e-02,-2.616817463703516571e-03,-1.000000000000000000e+01,-1.154838126061120355e-03,8.514431239388793593e-02,3.000000000000000062e-03,-1.000000000000000056e-01
2.000000000000000042e-02,-2.488032836546129941e-03,-1.000000000000000000e+01,1.198151913394619652e-04,1.274653317400582242e-01,1.000000000000000021e-03,-2.000000000000000111e-01
2.999999999999999889e-02,-2.493661574414695378e-03,4.111185073852539062e+00,6.342448250285445135e-05,-5.639070883660751710e-03,0.000000000000000000e+00,-1.588881492614746260e-01
4.000000000000000083e-02,-2.685873054323325865e-03,1.000000000000000000e+01,-1.825409350272632573e-03,-1.888833832775486943e-01,0.000000000000000000e+00,-5.888814926147462048e-02
5.000000000000000278e-02,-2.984186754879141618e-03,1.000000000000000000e+01,-4.627710503728248506e-03,-2.802301153455615257e-01,4.111185073852538507e-04,4.111185073852538507e-02
5.999999999999999778e-02,-3.244496122972779454e-03,1.000000000000000000e+01,-6.960478605545255409e-03,-2.332768101817006556e-01,1.822237014770507722e-03,1.411118507385253906e-01
7.000000000000000666e-02,-3.328094533090491212e-03,1.000000000000000000e+01,-7.689639737915601736e-03,-7.291611323703467429e-02,4.233355522155761615e-03,2.411118507385253962e-01
8.000000000000000167e-02,-3.190113173331940010e-03,1.000000000000000000e+01,-6.481086863940032847e-03,1.208552873975569097e-01,7.644474029541015528e-03,3.411118507385254017e-01
8.999999999999999667e-02,-2.730059606828196157e-03,-1.000000000000000000e+01,-2.249972314138076919e-03,4.231114549801955893e-01,8.000000000000000167e-03,2.411118507385253962e-01
1.000000000000000056e-01,-2.219110090235378897e-03,-1.000000000000000000e+01,2.892568630465760203e-03,5.142540944603837261e-01,8.000000000000000167e-03,1.411118507385253906e-01
1.100000000000000006e-01,-1.771942493575953204e-03,-1.000000000000000000e+01,7.905552699008475820e-03,5.012984068542716276e-01,8.000000000000000167e-03,4.111185073852538507e-02
1.199999999999999956e-01,-1.384660017515930777e-03,-1.000000000000000000e+01,1.278897989149007167e-02,4.883427192481595847e-01,7.411118507385253996e-03,-5.888814926147462048e-02
1.300000000000000044e-01,-1.053466572626132573e-03,-1.000000000000000000e+01,1.754285020791054861e-02,4.753870316420475417e-01,5.822237014770507806e-03,-1.588881492614746260e-01
1.400000000000000133e-01,-7.746667793821884794e-04,-1.000000000000000000e+01,2.216716364826990318e-02,4.624313440359354987e-01,3.233355522155761594e-03,-2.588881492614746316e-01
1.499999999999999944e-01,-6.270499799815302438e-04,1.000000000000000000e+01,2.495903396469037819e-02,2.791870316420475562e-01,1.644474029541015403e-03,-1.588881492614746260e-01
1.600000000000000033e-01,-5.799205130386351657e-04,1.000000000000000000e+01,2.591846115717197363e-02,9.594271924815961361e-02,1.055592536926269233e-03,-5.888814926147462048e-02
1.700000000000000122e-01,-6.227298039828059288e-04,1.000000000000000000e+01,2.504544522571468951e-02,-8.730159314572832896e-02,1.466711044311523084e-03,4.111185073852538507e-02
1.799999999999999933e-01,-7.650763650581706007e-04,1.000000000000000000e+01,2.233998617031852582e-02,-2.705459055396162715e-01,2.877829551696776955e-03,1.411118507385253906e-01
1.900000000000000022e-01,-1.036705795323682091e-03,1.000000000000000000e+01,1.780208399098348257e-02,-4.537902179335042141e-01,5.288948059082030848e-03,2.411118507385253962e-01
2.000000000000000111e-01,-1.487510768126156695e-03,9.999998092651367188e+00,1.143173885010944843e-02,-6.370345140874034140e-01,8.000000000000000167e-03,3.411118316650390558e-01
2.099999999999999922e-01,-2.108610241898826836e-03,0.000000000000000000e+00,4.080393709235414189e-03,-7.351345140874033790e-01,8.000000000000000167e-03,3.411118316650390558e-01
