# Time, Reward, Input, RodPos, RodVel, ActPos, ActVel
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.005944634413949282e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00
1.000000000000000021e-02,-2.857387758352828745e-03,1.000000000000000000e+01,-2.857387758352828745e-03,-8.514431239388794981e-02,5.000000000000000104e-03,1.000000000000000056e-01
2.000000000000000042e-02,-4.131970213551890148e-03,1.000000000000000000e+01,-4.131970213551890148e-03,-1.274582455199061437e-01,7.000000000000000146e-03,2.000000000000000111e-01
2.999999999999999889e-02,-5.200443856643960534e-03,1.000000000000000000e+01,-5.200443856643960534e-03,-1.068473643092070491e-01,8.000000000000000167e-03,3.000000000000000444e-01
4.000000000000000083e-02,-3.840271966407358788e-03,-1.000000000000000000e+01,-3.840271966407358788e-03,1.360171890236601955e-01,8.000000000000000167e-03,2.000000000000000389e-01
5.000000000000000278e-02,-7.506096439742343529e-04,-1.000000000000000000e+01,-7.506096439742343529e-04,3.089662322433124331e-01,8.000000000000000167e-03,1.000000000000000333e-01
5.999999999999999778e-02,2.533365583875788526e-03,-1.000000000000000000e+01,2.533365583875788526e-03,3.283975227850022827e-01,8.000000000000000167e-03,2.775557561562891351e-17
7.000000000000000666e-02,5.687783935664691634e-03,-1.000000000000000000e+01,5.687783935664691634e-03,3.154418351788902397e-01,7.000000000000000146e-03,-9.999999999999997780e-02
8.000000000000000167e-02,8.712645411392473671e-03,-1.000000000000000000e+01,8.712645411392473671e-03,3.024861475727781968e-01,5.000000000000000104e-03,-1.999999999999999833e-01
8.999999999999999667e-02,1.160790275269177503e-02,-9.999444961547851562e+00,1.160790275269177503e-02,2.895257341299301013e-01,2.000055503845215264e-03,-2.999944496154784979e-01
1.000000000000000056e-01,1.437016919110171466e-02,-9.959668159484863281e+00,1.437016919110171466e-02,2.762266438409939351e-01,0.000000000000000000e+00,-3.995911312103271329e-01
1.100000000000000006e-01,1.615143562951165332e-02,0.000000000000000000e+00,1.615143562951165332e-02,1.781266438409939146e-01,0.000000000000000000e+00,-3.995911312103271329e-01
1.199999999999999956e-01,1.695170206792159101e-02,0.000000000000000000e+00,1.695170206792159101e-02,8.002664384099390793e-02,0.000000000000000000e+00,-3.995911312103271329e-01
1.300000000000000044e-01,1.592038106740165798e-02,9.989950180053710938e+00,1.592038106740165798e-02,-1.031321000519931225e-01,0.000000000000000000e+00,-2.996916294097899947e-01
1.400000000000000133e-01,1.306032745558012922e-02,9.956420898437500000e+00,1.306032745558012922e-02,-2.860053611821528619e-01,0.000000000000000000e+00,-2.001274204254149813e-01
1.499999999999999944e-01,8.372916109907424520e-03,9.940273284912109375e+00,8.372916109907424520e-03,-4.687411345672704011e-01,0.000000000000000000e+00,-1.007246875762938809e-01
1.600000000000000033e-01,1.853151772233589505e-03,9.998941421508789062e+00,1.853151772233589505e-03,-6.519764337673834564e-01,0.000000000000000000e+00,-7.352733612059902946e-04
1.700000000000000122e-01,-6.498980011031393368e-03,9.999111175537109375e+00,-6.498980011031393368e-03,-8.352131783264982179e-01,9.925583839416509801e-04,9.925583839416510235e-02
1.799999999999999933e-01,-1.338843548770756245e-02,9.999992370605468750e+00,-1.338843548770756245e-02,0.000000000000000000e+00,2.985116004943848614e-03,1.992557621002197799e-01
1.900000000000000022e-01,-8.673312448496419552e-03,1.000000000000000000e+01,-8.673312448496419552e-03,4.715123039211143174e-01,5.977673625946046052e-03,2.992557621002197576e-01
2.000000000000000111e-01,8.795847701109638095e-05,-1.000000000000000000e+01,8.795847701109638095e-05,8.761270925507514962e-01,7.970231246948244336e-03,1.992557621002197521e-01
2.099999999999999922e-01,8.719672526457489942e-03,-1.000000000000000000e+01,8.719672526457489942e-03,8.631714049446393977e-01,8.000000000000000167e-03,9.925576210021974655e-02
