# Time, Reward, Input, RodPos, RodVel, ActPos, ActVel
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.005944634413949282e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00
1.000000000000000021e-02,-2.857387758352828745e-03,1.000000000000000000e+01,-2.857387758352828745e-03,-8.514431239388794981e-02,5.000000000000000104e-03,1.000000000000000056e-01
2.000000000000000042e-02,-4.131970213551890148e-03,1.000000000000000000e+01,-4.131970213551890148e-03,-1.274582455199061437e-01,7.000000000000000146e-03,2.000000000000000111e-01
2.999999999999999889e-02,-5.200443856643960534e-03,1.000000000000000000e+01,-5.200443856643960534e-03,-1.068473643092070491e-01,8.000000000000000167e-03,3.000000000000000444e-01
4.000000000000000083e-02,-4.691715090346238251e-03,0.000000000000000000e+00,-4.691715090346238251e-03,5.087287662977227343e-02,8.000000000000000167e-03,3.000000000000000444e-01
5.000000000000000278e-02,-2.025192099173295322e-03,-1.000000000000000000e+01,-2.025192099173295322e-03,2.666522991172942669e-01,8.000000000000000167e-03,2.000000000000000389e-01
5.999999999999999778e-02,1.464891940783719006e-03,-1.000000000000000000e+01,1.464891940783719006e-03,3.490084039957014328e-01,8.000000000000000167e-03,1.000000000000000333e-01
7.000000000000000666e-02,4.825419104679613130e-03,-1.000000000000000000e+01,4.825419104679613130e-03,3.360527163895893898e-01,8.000000000000000167e-03,2.775557561562891351e-17
8.000000000000000167e-02,8.056389392514386183e-03,-1.000000000000000000e+01,8.056389392514386183e-03,3.230970287834773469e-01,7.000000000000000146e-03,-9.999999999999997780e-02
8.999999999999999667e-02,1.115780272308809426e-02,-9.999999046325683594e+00,1.115780272308809426e-02,3.101413330573709048e-01,5.000000095367431938e-03,-1.999999904632568104e-01
1.000000000000000056e-01,1.412965844680118786e-02,-9.999991416931152344e+00,1.412965844680118786e-02,2.971855723713093256e-01,2.000001049041748909e-03,-2.999999046325683150e-01
1.100000000000000006e-01,1.526934582718562049e-02,9.996772766113281250e+00,1.526934582718562049e-02,1.139687380384432625e-01,0.000000000000000000e+00,-2.000321769714354936e-01
1.199999999999999956e-01,1.457659268202937848e-02,9.999969482421875000e+00,1.457659268202937848e-02,-6.927531451562415898e-02,0.000000000000000000e+00,-1.000324821472167447e-01
1.300000000000000044e-01,1.241560089739132851e-02,5.722503662109375000e+00,1.241560089739132851e-02,-2.160991784638050250e-01,0.000000000000000000e+00,-4.280744552612299192e-02
1.400000000000000133e-01,8.422166151214285912e-03,9.999998092651367188e+00,8.422166151214285912e-03,-3.993434746177041972e-01,5.719253540039068466e-04,5.719253540039068162e-02
1.499999999999999944e-01,2.654196995502900759e-03,9.319875717163085938e+00,2.654196995502900759e-03,-5.767969155711385465e-01,2.075838279724122326e-03,1.503912925720215510e-01
1.600000000000000033e-01,-4.945953657928061319e-03,9.996927261352539062e+00,-4.945953657928061319e-03,-7.600150653430961523e-01,4.579443931579591995e-03,2.503605651855469461e-01
1.700000000000000122e-01,-1.185344808655180993e-02,1.000000000000000000e+01,-1.185344808655180993e-02,0.000000000000000000e+00,8.000000000000000167e-03,3.503605651855469238e-01
1.799999999999999933e-01,-6.186118860467546172e-03,-1.000000000000000000e+01,-6.186118860467546172e-03,5.667329226084263372e-01,8.000000000000000167e-03,2.503605651855469461e-01
1.900000000000000022e-01,2.297687275621951124e-03,-1.000000000000000000e+01,2.297687275621951124e-03,8.483806136089497851e-01,8.000000000000000167e-03,1.503605651855469405e-01
2.000000000000000111e-01,1.065193653565032691e-02,-1.000000000000000000e+01,1.065193653565032691e-02,8.354249260028376867e-01,8.000000000000000167e-03,5.036056518554693495e-02
2.099999999999999922e-01,1.887662891961758294e-02,-1.000000000000000000e+01,1.887662891961758294e-02,8.224692383967255882e-01,7.503605651855469773e-03,-4.963943481445307060e-02
