# Time, Reward, Input, RodPos, RodVel, ActPos, ActVel
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.006281249999999818e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00
1.000000000000000021e-02,-2.651782722567521105e-03,-1.000000000000000000e+01,-1.495463126061120571e-03,5.108181239388793343e-02,3.000000000000000062e-03,-1.000000000000000056e-01
2.000000000000000042e-02,-2.564677419175566669e-03,-1.000000000000000000e+01,-6.426442751123175251e-04,8.528188509488029978e-02,1.000000000000000021e-03,-2.000000000000000111e-01
2.999999999999999889e-02,-2.472656089525066773e-03,-9.977532386779785156e+00,2.741909113077732781e-04,9.168351864200907642e-02,0.000000000000000000e+00,-2.997753238677978715e-01
4.000000000000000083e-02,-2.564553118422615262e-03,1.000000000000000000e+01,-6.414170262110153748e-04,-9.156079375187886615e-02,0.000000000000000000e+00,-1.997753238677978660e-01
5.000000000000000278e-02,-2.827515925606030253e-03,1.000000000000000000e+01,-3.174391633624078050e-03,-2.532974607413062684e-01,0.000000000000000000e+00,-9.977532386779786044e-02
5.999999999999999778e-02,-3.192020632239939062e-03,1.000000000000000000e+01,-6.497970160351235376e-03,-3.323578526727157256e-01,2.246761322021451017e-06,2.246761322021451068e-04
7.000000000000000666e-02,-3.545295341339692579e-03,1.000000000000000000e+01,-9.542382731460222547e-03,0.000000000000000000e+00,1.004493522644043027e-03,1.002246761322021507e-01
8.000000000000000167e-02,-3.206521272475950160e-03,-1.000000000000000000e+01,-6.626153608345584922e-03,2.916229123114637556e-01,1.006740283966064530e-03,2.246761322021451068e-04
8.999999999999999667e-02,-2.678835023355162926e-03,-1.000000000000000000e+01,-1.757463455574814759e-03,4.868690152770770441e-01,8.987045288086012440e-06,-9.977532386779786044e-02
1.000000000000000056e-01,-2.324712560697823286e-03,1.000000000000000000e+01,1.784726893879125167e-03,3.542190349453939735e-01,1.123380661010746303e-05,2.246761322021451068e-04
1.100000000000000006e-01,-2.162763937431697210e-03,1.000000000000000000e+01,3.494474119394185528e-03,1.709747225515060309e-01,1.013480567932129039e-03,1.002246761322021507e-01
1.199999999999999956e-01,-2.174191066274373807e-03,1.000000000000000000e+01,3.371778220970366325e-03,-1.226958984238191164e-02,3.015727329254150584e-03,2.002246761322021562e-01
1.300000000000000044e-01,-2.360342946758265184e-03,1.000000000000000000e+01,1.416639198607667557e-03,-1.955139022362698542e-01,6.017974090576172150e-03,3.002246761322021618e-01
