# Time, Reward, Input, RodPos, RodVel, ActPos, ActVel
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.006281249999999818e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00
1.000000000000000021e-02,-2.582084255620762520e-03,-1.000000000000000000e+01,-8.142131260611205727e-04,1.192068123938879315e-01,3.000000000000000062e-03,-1.000000000000000056e-01
2.000000000000000042e-02,-2.424055146035195701e-03,-1.000000000000000000e+01,7.653054641831326648e-04,1.579518590244253229e-01,1.000000000000000021e-03,-2.000000000000000111e-01
2.999999999999999889e-02,-2.283380690834920304e-03,-1.000000000000000000e+01,2.215267178366265265e-03,1.449961714183132799e-01,0.000000000000000000e+00,-3.000000000000000444e-01
4.000000000000000083e-02,-2.320080526812569668e-03,1.000000000000000000e+01,1.832785768610518517e-03,-3.824814097557466264e-02,0.000000000000000000e+00,-2.000000000000000389e-01
5.000000000000000278e-02,-2.538359906544191292e-03,1.000000000000000000e+01,-3.821387650841077954e-04,-2.214924533694626052e-01,0.000000000000000000e+00,-1.000000000000000333e-01
5.999999999999999778e-02,-2.931336740604135842e-03,9.999996185302734375e+00,-4.141820625133538734e-03,-3.759681860049430835e-01,0.000000000000000000e+00,-3.814697269177713679e-08
7.000000000000000666e-02,-3.242678154504385554e-03,1.000000000000000000e+01,-6.944518212944654316e-03,-2.802697587811115443e-01,9.999996185302731204e-04,9.999996185302731377e-02
8.000000000000000167e-02,-3.244385401671216491e-03,1.000000000000000000e+01,-6.959506683882156486e-03,-1.498847093750255155e-03,2.999999237060546262e-03,1.999999618530273193e-01
8.999999999999999667e-02,-2.940043096830360827e-03,1.000000000000000000e+01,-4.222164258081402208e-03,2.737342425800753931e-01,5.999998855590819857e-03,2.999999618530273526e-01
1.000000000000000056e-01,-2.389008938964641039e-03,-1.000000000000000000e+01,1.122510917963051233e-03,5.344675176044453302e-01,7.999998474121094300e-03,1.999999618530273471e-01
1.100000000000000006e-01,-1.906402622309529829e-03,-1.000000000000000000e+01,6.337629217946384036e-03,5.215118299983332317e-01,8.000000000000000167e-03,9.999996185302734153e-02
1.199999999999999956e-01,-1.488170220253614640e-03,-1.000000000000000000e+01,1.142319064186859620e-02,5.085561423922211333e-01,7.999999618530272832e-03,-3.814697266402156117e-08
1.300000000000000044e-01,-1.130358516090295426e-03,-1.000000000000000000e+01,1.637919518972968599e-02,4.956004547861090903e-01,6.999999237060546345e-03,-1.000000381469726696e-01
1.400000000000000133e-01,-8.291150030177781450e-04,-1.000000000000000000e+01,2.120564286152965688e-02,4.826447671799970474e-01,4.999998855590818969e-03,-2.000000381469726751e-01
1.499999999999999944e-01,-5.806878841390771418e-04,-1.000000000000000000e+01,2.590253365726850887e-02,4.696890795738850044e-01,1.999998474121092006e-03,-3.000000381469726807e-01
1.600000000000000033e-01,-3.814260756337071730e-04,-9.999999046325683594e+00,3.046986749574629588e-02,4.567333838477785624e-01,0.000000000000000000e+00,-4.000000286102295410e-01
1.700000000000000122e-01,-2.820726569850789890e-04,9.997381210327148438e+00,3.320498118533120324e-02,2.735113689584904861e-01,0.000000000000000000e+00,-3.000262165069580433e-01
1.799999999999999933e-01,-2.525666296316047958e-04,9.999961853027343750e+00,3.410765499897498720e-02,9.026738136437820192e-02,0.000000000000000000e+00,-2.000265979766845947e-01
1.900000000000000022e-01,-2.829835299031210004e-04,1.000000000000000000e+01,3.317788568867988813e-02,-9.297693102950974064e-02,0.000000000000000000e+00,-1.000265979766845892e-01
2.000000000000000111e-01,-3.835417703351682054e-04,9.998775482177734375e+00,3.041577751517390155e-02,-2.762108173505986031e-01,0.000000000000000000e+00,-3.884315490723655451e-05
2.099999999999999922e-01,-5.845344460048824920e-04,9.980895996093750000e+00,2.582285281500560498e-02,-4.592924700168297680e-01,9.977011680603025800e-04,9.977011680603026234e-02
2.200000000000000011e-01,-9.360483579796939364e-04,9.910650253295898438e+00,1.940509261364411694e-02,-6.417760201361488726e-01,2.986467361450194889e-03,1.988766193389892578e-01
2.300000000000000100e-01,-1.508740838516819081e-03,9.969493865966796875e+00,1.115748671214980212e-02,-8.247605901494314828e-01,5.972182941436766576e-03,2.985715579986571999e-01
2.399999999999999911e-01,-2.393417103297096685e-03,1.000000000000000000e+01,1.077437686716609458e-03,-1.008004902543319314e+00,8.000000000000000167e-03,3.985715579986571777e-01
