# Time, Reward, Input, RodPos, RodVel, ActPos, ActVel
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.006281249999999818e-03,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00
1.000000000000000021e-02,-2.517099373938879499e-03,1.000000000000000000e+01,-2.517099373938879499e-03,-5.108181239388796813e-02,5.000000000000000104e-03,1.000000000000000056e-01
2.000000000000000042e-02,-3.193945526262068763e-03,1.000000000000000000e+01,-3.193945526262068763e-03,-6.768461523231891763e-02,7.000000000000000146e-03,2.000000000000000111e-01
2.999999999999999889e-02,-3.588256546075336163e-03,1.000000000000000000e+01,-3.588256546075336163e-03,-3.943110198132673827e-02,8.000000000000000167e-03,3.000000000000000444e-01
4.000000000000000083e-02,-1.741982592770253231e-03,-1.000000000000000000e+01,-1.741982592770253231e-03,1.846273953305082871e-01,8.000000000000000167e-03,2.000000000000000389e-01
5.000000000000000278e-02,1.092284591603886980e-03,-1.000000000000000000e+01,1.092284591603886980e-03,2.834267184374140158e-01,8.000000000000000167e-03,1.000000000000000333e-01
5.999999999999999778e-02,3.796994899916906335e-03,-1.000000000000000000e+01,3.796994899916906335e-03,2.704710308313019729e-01,8.000000000000000167e-03,2.775557561562891351e-17
7.000000000000000666e-02,6.372148332168805704e-03,-1.000000000000000000e+01,6.372148332168805704e-03,2.575153432251899299e-01,7.000000000000000146e-03,-9.999999999999997780e-02
8.000000000000000167e-02,8.817744888359584435e-03,-1.000000000000000000e+01,8.817744888359584435e-03,2.445596556190778870e-01,5.000000000000000104e-03,-1.999999999999999833e-01
8.999999999999999667e-02,1.113378456848924253e-02,-1.000000000000000000e+01,1.113378456848924253e-02,2.316039680129658440e-01,2.000000000000000042e-03,-2.999999999999999889e-01
1.000000000000000056e-01,1.161738112468002106e-02,1.000000000000000000e+01,1.161738112468002106e-02,4.835965561907790145e-02,0.000000000000000000e+00,-1.999999999999999833e-01
1.100000000000000006e-01,1.026853455693192002e-02,1.000000000000000000e+01,1.026853455693192002e-02,-1.348846567748100411e-01,0.000000000000000000e+00,-9.999999999999997780e-02
1.199999999999999956e-01,7.087244865244940288e-03,1.000000000000000000e+01,7.087244865244940288e-03,-3.181289691686979837e-01,2.775557561562891409e-19,2.775557561562891351e-17
1.300000000000000044e-01,2.073512049619080123e-03,1.000000000000000000e+01,2.073512049619080123e-03,-5.013732815625859818e-01,1.000000000000000671e-03,1.000000000000000333e-01
1.400000000000000133e-01,-4.772663889945659606e-03,1.000000000000000000e+01,-4.772663889945659606e-03,-6.846175939564739243e-01,3.000000000000000930e-03,2.000000000000000389e-01
1.499999999999999944e-01,-1.019618973487346550e-02,1.000000000000000000e+01,-1.019618973487346550e-02,0.000000000000000000e+00,6.000000000000001860e-03,3.000000000000000444e-01
1.600000000000000033e-01,-3.609071539405035549e-03,-1.000000000000000000e+01,-3.609071539405035549e-03,6.587118195468429915e-01,8.000000000000000167e-03,2.000000000000000389e-01
1.700000000000000122e-01,5.119016593259462060e-03,-1.000000000000000000e+01,5.119016593259462060e-03,8.728088132664496568e-01,8.000000000000000167e-03,1.000000000000000333e-01
1.799999999999999933e-01,1.371754784986283643e-02,-1.000000000000000000e+01,1.371754784986283643e-02,8.598531256603375583e-01,8.000000000000000167e-03,2.775557561562891351e-17
1.900000000000000022e-01,2.218652223040509103e-02,-1.000000000000000000e+01,2.218652223040509103e-02,8.468974380542254599e-01,7.000000000000000146e-03,-9.999999999999997780e-02
2.000000000000000111e-01,3.052593973488622325e-02,-1.000000000000000000e+01,3.052593973488622325e-02,8.339417504481133614e-01,5.000000000000000104e-03,-1.999999999999999833e-01
2.099999999999999922e-01,3.873580036330623311e-02,-1.000000000000000000e+01,3.873580036330623311e-02,8.209860628420012629e-01,2.000000000000000042e-03,-2.999999999999999889e-01
